Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/NCIT_C453		y	Recombinant DNA	
http://purl.obolibrary.org/obo/NCIT_C4873	Rare Disorder	y	Rare disease	
http://purl.obolibrary.org/obo/NCIT_C13302		y	Secondary protein structure	
http://purl.obolibrary.org/obo/NCIT_C13375		y	Chromosome fragile site	
http://purl.obolibrary.org/obo/NCIT_C13426		y	Binding motif	
http://purl.obolibrary.org/obo/NCIT_C13445		y	Gene feature	
http://purl.obolibrary.org/obo/NCIT_C15222	Diet	y		
http://purl.obolibrary.org/obo/NCIT_C17004		y	Genetic polymorphism	
http://purl.obolibrary.org/obo/NCIT_C17207		y	Transcription factor	
http://purl.obolibrary.org/obo/NCIT_C17671		y	Nuclear receptor	
http://purl.obolibrary.org/obo/NCIT_C18106		y	Receptor	
http://purl.obolibrary.org/obo/NCIT_C18143		y	Gene knockout	
http://purl.obolibrary.org/obo/NCIT_C18469		y	Protein-protein interaction	
http://purl.obolibrary.org/obo/NCIT_C18966	Protein Expression	y	Protein expression	
http://purl.obolibrary.org/obo/NCIT_C26549		y	Untranslated RNA	
http://purl.obolibrary.org/obo/NCIT_C45275		y	Animal tracking	
http://purl.obolibrary.org/obo/NCIT_C49667	Safety Study	y	Safety study	
http://purl.obolibrary.org/obo/NCIT_C54708		y	Drug interaction	
http://purl.obolibrary.org/obo/NCIT_C70699		y	Biological sample	
http://purl.obolibrary.org/obo/NCIT_C45275		y	Animal tracking	
http://purl.obolibrary.org/obo/NCIT_C61256		y		
http://purl.obolibrary.org/obo/NCIT_C66892		y	Natural product	
http://purl.obolibrary.org/obo/NCIT_C104154		y	Circulating cell-free RNA	
