Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/CHEBI_15339	acceptor	y	Acceptor	
http://purl.obolibrary.org/obo/CHEBI_15358	histone	y	Histone	
http://purl.obolibrary.org/obo/CHEBI_16646	carbohydrate	y	Carbohydrate	
http://purl.obolibrary.org/obo/CHEBI_16670	peptide	y	Peptide	
http://purl.obolibrary.org/obo/CHEBI_16991	deoxyribonucleic acid	y	Deoxyribonucleic acid	
http://purl.obolibrary.org/obo/CHEBI_17234	glucose	y	Glucose	
http://purl.obolibrary.org/obo/CHEBI_17891	donor	y	Donor	
http://purl.obolibrary.org/obo/CHEBI_18059	lipid	y	Lipid	
http://purl.obolibrary.org/obo/CHEBI_18111	ribosomal RNA	y	Ribosomal RNA	
http://purl.obolibrary.org/obo/CHEBI_18154	polysaccharide	y	Polysaccharide	
http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	y	Molecular entity	
http://purl.obolibrary.org/obo/CHEBI_23888	drug	y	Drug	
http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity	y	Chemical entity	
http://purl.obolibrary.org/obo/CHEBI_24636	proton	y	Proton	
http://purl.obolibrary.org/obo/CHEBI_25212	metabolite	y	Metabolite	
http://purl.obolibrary.org/obo/CHEBI_25442	mycotoxin	y	Mycotoxin	
http://purl.obolibrary.org/obo/CHEBI_33281	antimicrobial agent	y	Antimicrobial	
http://purl.obolibrary.org/obo/CHEBI_33284	nutrient	y	Nutrient	
http://purl.obolibrary.org/obo/CHEBI_33290	food	y	Food	
http://purl.obolibrary.org/obo/CHEBI_33696	nucleic acid	y	Nucleic acid	
http://purl.obolibrary.org/obo/CHEBI_33697	ribonucleic acid	y	Ribonucleic acid	
http://purl.obolibrary.org/obo/CHEBI_33711	C-terminal amino-acid residue	y	C-terminal amino acid residue	
http://purl.obolibrary.org/obo/CHEBI_33712	N-terminal amino-acid residue	y	N-terminal amino acid residue	
http://purl.obolibrary.org/obo/CHEBI_33893	reagent	y	Reagent	
http://purl.obolibrary.org/obo/CHEBI_50406	probe	y	Probe	
http://purl.obolibrary.org/obo/CHEBI_50803	nanoparticle	y	Nanoparticle	
http://purl.obolibrary.org/obo/CHEBI_51087	protecting group	y	Protecting group	
http://purl.obolibrary.org/obo/CHEBI_52214	ligand	y	Ligand	
http://purl.obolibrary.org/obo/CHEBI_59132	antigen	y	Antigen	
http://purl.obolibrary.org/obo/CHEBI_59163	biomarker	y	Biomarker	
http://purl.obolibrary.org/obo/CHEBI_78298	environmental contaminant	y	Environmental contaminant	
