Old IRI|New IRI
http://purl.obolibrary.org/obo/AERO_0000009|http://purl.obolibrary.org/obo/NCIT_C41332
http://purl.obolibrary.org/obo/EO_0007302|http://purl.obolibrary.org/obo/PECO_0007302
http://purl.obolibrary.org/obo/GO_0019015|http://purl.obolibrary.org/obo/NCIT_C17253
http://edamontology.org/operation_2502|http://purl.obolibrary.org/obo/NCIT_C18962
http://purl.obolibrary.org/obo/AERO_0000066|
http://purl.obolibrary.org/obo/OMIT_0026595|http://purl.obolibrary.org/obo/NCIT_C64862
http://purl.obolibrary.org/obo/OMIT_0026947|http://purl.obolibrary.org/obo/NCIT_C142529
http://purl.obolibrary.org/obo/OMIT_0015994|http://purl.obolibrary.org/obo/NCIT_C15318
http://purl.obolibrary.org/obo/OMIT_0026885|http://purl.obolibrary.org/obo/NCIT_C18472
http://purl.obolibrary.org/obo/OMIT_0006989|http://purl.obolibrary.org/obo/NCIT_C15239
http://purl.obolibrary.org/obo/OMIT_0021245|http://purl.obolibrary.org/obo/GO_0043631
http://purl.obolibrary.org/obo/OMIT_0006299|http://purl.obolibrary.org/obo/NCIT_C16565
http://purl.obolibrary.org/obo/OMIT_0005506|http://purl.obolibrary.org/obo/NCIT_C16507
http://purl.obolibrary.org/obo/OMIT_0007580|http://purl.obolibrary.org/obo/GO_0030097
http://purl.obolibrary.org/obo/OMIT_0008240|http://purl.obolibrary.org/obo/NCIT_C16710
http://purl.obolibrary.org/obo/OMIT_0008430|http://purl.obolibrary.org/obo/IDOMAL_0000349
http://purl.obolibrary.org/obo/OMIT_0006985|
http://purl.obolibrary.org/obo/OMIT_0012031|
http://purl.obolibrary.org/obo/OMIT_0010452|
http://purl.obolibrary.org/obo/OMIT_0005718|
http://purl.obolibrary.org/obo/OMIT_0019288|http://purl.obolibrary.org/obo/NCIT_C17962
http://purl.obolibrary.org/obo/OMIT_0026913|
http://purl.obolibrary.org/obo/OMIT_0026906|http://purl.obolibrary.org/obo/NCIT_C42753
http://purl.obolibrary.org/obo/OMIT_0026382|
http://purl.obolibrary.org/obo/OMIT_0012758|http://purl.obolibrary.org/obo/ENVO_01001023
http://edamontology.org/format_1207|http://purl.obolibrary.org/obo/CHEBI_36976
http://purl.obolibrary.org/obo/OMIT_0026595|http://purl.obolibrary.org/obo/NCIT_C64862
http://edamontology.org/data_2968|http://purl.obolibrary.org/obo/IAO_0000101
