Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/ERO_0000086		y	Electron density map	
http://purl.obolibrary.org/obo/ERO_0000201		y	Microscopy	
http://purl.obolibrary.org/obo/ERO_0000215		y	Light microscopy	
http://purl.obolibrary.org/obo/ERO_0000292		y	Peptide library	
http://purl.obolibrary.org/obo/ERO_0000328		y	Electron microscopy	
http://purl.obolibrary.org/obo/ERO_0000333		y	Video	
http://purl.obolibrary.org/obo/ERO_0000401		y	Cellular assay	
http://purl.obolibrary.org/obo/ERO_0000478		y	Bioactivity	
http://purl.obolibrary.org/obo/ERO_0000911		y	Drug combination effect modeling	
http://purl.obolibrary.org/obo/ERO_0001075		y	Real time polymerase chain reaction (RT-PCR)	
http://purl.obolibrary.org/obo/ERO_0001183		y	Next generation DNA sequencing	
http://purl.obolibrary.org/obo/ERO_0001219		y	Quality control	
http://purl.obolibrary.org/obo/ERO_0001235		y	Magnetic resonance imaging (MRI)	
http://purl.obolibrary.org/obo/ERO_0001312		y	Imaging	
http://purl.obolibrary.org/obo/ERO_0001677		y	Raman spectroscopy	
http://purl.obolibrary.org/obo/ERO_0001688		y	RNAi screening	
http://purl.obolibrary.org/obo/ERO_0001728		y	MicroRNA (miRNA) expression analysis	
http://purl.obolibrary.org/obo/ERO_0001764		y	Polysomnography	
http://purl.obolibrary.org/obo/ERO_0001830	positron emission tomography	y	Positron emission tomography (PET)	
http://purl.obolibrary.org/obo/ERO_0001944		y	Super-resolution microscopy	
http://purl.obolibrary.org/obo/ERO_0002178		y	Functional magnetic resonance imaging (fMRI)	
http://purl.obolibrary.org/obo/ERO_0002190		y	Resource collection	
http://purl.obolibrary.org/obo/ERO_0100102		y	Modeling and simulation	
http://purl.obolibrary.org/obo/ERO_0100106	natural language processing objective	y	Natural language processing	
http://purl.obolibrary.org/obo/ERO_0100148		y	Disease process modeling	
http://purl.obolibrary.org/obo/ERO_0100150		y	Omics data analysis	
http://purl.obolibrary.org/obo/ERO_0100295		y	Data acquisition	
