Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/GO_0000380	alternative mRNA splicing, via spliceosome	y	Alternative splicing	
http://purl.obolibrary.org/obo/GO_0000775		y	Centromere	
http://purl.obolibrary.org/obo/GO_0003674		y	Molecular function	
http://purl.obolibrary.org/obo/GO_0003682	chromatin binding	y	Chromatin binding	
http://purl.obolibrary.org/obo/GO_0003824		y	Catalytic activity	
http://purl.obolibrary.org/obo/GO_0005216		y	Ion channel activity	
http://purl.obolibrary.org/obo/GO_0005488		y	Binding	
http://purl.obolibrary.org/obo/GO_0005575		y	Cellular component	
http://purl.obolibrary.org/obo/GO_0005623		y	Cell	
http://purl.obolibrary.org/obo/GO_0005634		y	Nucleus	
http://purl.obolibrary.org/obo/GO_0005694		y	Chromosome	
http://purl.obolibrary.org/obo/GO_0005739		y	Mitochondrion	
http://purl.obolibrary.org/obo/GO_0005813		y	Centrosome	
http://purl.obolibrary.org/obo/GO_0006006		y	Glucose metabolic process	
http://purl.obolibrary.org/obo/GO_0006306		y	DNA methylation	
http://purl.obolibrary.org/obo/GO_0006338		y	Chromatin remodeling	
http://purl.obolibrary.org/obo/GO_0006412		y	Translation	
http://purl.obolibrary.org/obo/GO_0006413		y	Translation initiation	
http://purl.obolibrary.org/obo/GO_0006457		y	Protein folding	
http://purl.obolibrary.org/obo/GO_0006473		y	Protein acetylation	
http://purl.obolibrary.org/obo/GO_0006605		y	Protein targeting	
http://purl.obolibrary.org/obo/GO_0006810		y	Transport	
http://purl.obolibrary.org/obo/GO_0006954		y	Inflammatory response	
http://purl.obolibrary.org/obo/GO_0007049		y	Cell cycle	
http://purl.obolibrary.org/obo/GO_0007127		y	Meiosis I	
http://purl.obolibrary.org/obo/GO_0007135		y	Meiosis II	
http://purl.obolibrary.org/obo/GO_0007155		y	Cell adhesion	
http://purl.obolibrary.org/obo/GO_0007568		y	Aging	
http://purl.obolibrary.org/obo/GO_0007610		y	Behavior	
http://purl.obolibrary.org/obo/GO_0008022		y	Protein C-terminus binding	
http://purl.obolibrary.org/obo/GO_0008104		y	Protein localization	
http://purl.obolibrary.org/obo/GO_0008144		y	Drug binding	
http://purl.obolibrary.org/obo/GO_0008150		y	Biological process	
http://purl.obolibrary.org/obo/GO_0008380		y	RNA splicing	
http://purl.obolibrary.org/obo/GO_0009306		y	Protein secretion	
http://purl.obolibrary.org/obo/GO_0009451		y	RNA modification	
http://purl.obolibrary.org/obo/GO_0009536		y	Plastid	
http://purl.obolibrary.org/obo/GO_0010467		y	Gene expression	
http://purl.obolibrary.org/obo/GO_0010468		y	Regulation of gene expression	
http://purl.obolibrary.org/obo/GO_0016246		y	RNA interference (RNAi)	
http://purl.obolibrary.org/obo/GO_0016310		y	Phosphorylation	
http://purl.obolibrary.org/obo/GO_0016477		y	Cell migration	
http://purl.obolibrary.org/obo/GO_0017144		y	Drug metabolic process	
http://purl.obolibrary.org/obo/GO_0019015		y	Viral genome	
http://purl.obolibrary.org/obo/GO_0019814		y	Immunoglobulin complex	
http://purl.obolibrary.org/obo/GO_0019815		y	B cell receptor complex	
http://purl.obolibrary.org/obo/GO_0023052		y	Signaling	
http://purl.obolibrary.org/obo/GO_0030431		y	Sleep	
http://purl.obolibrary.org/obo/GO_0031982		y	Vesicle	
http://purl.obolibrary.org/obo/GO_0032259		y	Methylation	
http://purl.obolibrary.org/obo/GO_0035195		y	Gene silencing by miRNA (microRNA)	
http://purl.obolibrary.org/obo/GO_0036094		y	Small molecule binding	
http://purl.obolibrary.org/obo/GO_0036211		y	Protein modification	
http://purl.obolibrary.org/obo/GO_0042101		y	T cell receptor complex	
http://purl.obolibrary.org/obo/GO_0042571		y	Antibody	
http://purl.obolibrary.org/obo/GO_0043226		y	Organelle	
http://purl.obolibrary.org/obo/GO_0043687		y	Post-translational protein modification (PTM)	
http://purl.obolibrary.org/obo/GO_0046872		y	Metal ion binding	
http://purl.obolibrary.org/obo/GO_0047485		y	Protein N-terminus binding	
http://purl.obolibrary.org/obo/GO_0048513		y	Animal organ development	
http://purl.obolibrary.org/obo/GO_0050693		y	Ligand binding domain binding	
http://purl.obolibrary.org/obo/GO_0050890		y	Cognition	
http://purl.obolibrary.org/obo/GO_0050909		y	Sense of taste	
http://purl.obolibrary.org/obo/GO_0051087		y	Chaperone binding	
http://purl.obolibrary.org/obo/GO_0051301		y	Cell division	
http://purl.obolibrary.org/obo/GO_0051641		y	Cellular localization	
http://purl.obolibrary.org/obo/GO_0060293		y	Germ plasm	
http://purl.obolibrary.org/obo/GO_0065007		y	Biological regulation	
http://purl.obolibrary.org/obo/GO_0070062		y	Extracellular exosome	
http://purl.obolibrary.org/obo/GO_0070085		y	Glycosylation	
http://purl.obolibrary.org/obo/GO_0070893		y	Transposon integration	
http://purl.obolibrary.org/obo/GO_0007608		y	Sense of smell	
http://purl.obolibrary.org/obo/GO_0098687		y	Chromosomal region	
http://purl.obolibrary.org/obo/GO_1901873		y	Regulation of post-translational protein modification (PTM)	
http://purl.obolibrary.org/obo/GO_2000628		y	Regulation of miRNA metabolic process	
