Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/BFO_0000001	entity			
http://purl.obolibrary.org/obo/BFO_0000002	continuant			
http://purl.obolibrary.org/obo/BFO_0000003	occurrent			
http://purl.obolibrary.org/obo/BFO_0000004	independent continuant			
http://purl.obolibrary.org/obo/BFO_0000006	spatial region			
http://purl.obolibrary.org/obo/BFO_0000008	temporal region			
http://purl.obolibrary.org/obo/BFO_0000009	two-dimensional spatial region			
http://purl.obolibrary.org/obo/BFO_0000011	spatiotemporal region			
http://purl.obolibrary.org/obo/BFO_0000015	process			
http://purl.obolibrary.org/obo/BFO_0000016	disposition			
http://purl.obolibrary.org/obo/BFO_0000017	realizable entity			
http://purl.obolibrary.org/obo/BFO_0000018	zero-dimensional spatial region			
http://purl.obolibrary.org/obo/BFO_0000019	quality			
http://purl.obolibrary.org/obo/BFO_0000020	specifically dependent continuant			
http://purl.obolibrary.org/obo/BFO_0000023	role			
http://purl.obolibrary.org/obo/BFO_0000024	fiat object part			
http://purl.obolibrary.org/obo/BFO_0000026	one-dimensional spatial region			
http://purl.obolibrary.org/obo/BFO_0000027	object aggregate			
http://purl.obolibrary.org/obo/BFO_0000028	three-dimensional spatial region			
http://purl.obolibrary.org/obo/BFO_0000029	site			
http://purl.obolibrary.org/obo/BFO_0000030	object			
http://purl.obolibrary.org/obo/BFO_0000031	generically dependent continuant			
http://purl.obolibrary.org/obo/BFO_0000034	function			
http://purl.obolibrary.org/obo/BFO_0000035	process boundary			
http://purl.obolibrary.org/obo/BFO_0000038	one-dimensional temporal region			
http://purl.obolibrary.org/obo/BFO_0000040	material entity			
http://purl.obolibrary.org/obo/BFO_0000050	part of			
http://purl.obolibrary.org/obo/BFO_0000051	has part			
http://purl.obolibrary.org/obo/BFO_0000054	realized in			
http://purl.obolibrary.org/obo/BFO_0000055	realizes			
http://purl.obolibrary.org/obo/BFO_0000066	occurs in			
http://purl.obolibrary.org/obo/BFO_0000067	contains process			
http://purl.obolibrary.org/obo/BFO_0000140	continuant fiat boundary			
http://purl.obolibrary.org/obo/BFO_0000141	immaterial entity			
http://purl.obolibrary.org/obo/BFO_0000142	one-dimensional continuant fiat boundary			
http://purl.obolibrary.org/obo/BFO_0000144	process profile			
http://purl.obolibrary.org/obo/BFO_0000145	relational quality			
http://purl.obolibrary.org/obo/BFO_0000146	two-dimensional continuant fiat boundary			
http://purl.obolibrary.org/obo/BFO_0000147	zero-dimensional continuant fiat boundary			
http://purl.obolibrary.org/obo/BFO_0000148	zero-dimensional temporal region			
http://purl.obolibrary.org/obo/BFO_0000179	BFO OWL specification label			
http://purl.obolibrary.org/obo/BFO_0000180	BFO CLIF specification label			
http://purl.obolibrary.org/obo/BFO_0000182	history			
http://purl.obolibrary.org/obo/GAZ_00000448	geographic location			
http://purl.obolibrary.org/obo/IAO_0000001	conditional specification			
http://purl.obolibrary.org/obo/IAO_0000003	measurement unit label			
http://purl.obolibrary.org/obo/IAO_0000004	has measurement value			
http://purl.obolibrary.org/obo/IAO_0000005	objective specification			
http://purl.obolibrary.org/obo/IAO_0000006	narrative object			
http://purl.obolibrary.org/obo/IAO_0000007	action specification			
http://purl.obolibrary.org/obo/IAO_0000009	datum label			
http://purl.obolibrary.org/obo/IAO_0000010	software			
http://purl.obolibrary.org/obo/IAO_0000013	journal article	y	Journal article	
http://purl.obolibrary.org/obo/IAO_0000015	information carrier			
http://purl.obolibrary.org/obo/IAO_0000017	model number			
http://purl.obolibrary.org/obo/IAO_0000025	programming language			
http://purl.obolibrary.org/obo/IAO_0000027	data item			
http://purl.obolibrary.org/obo/IAO_0000028	symbol			
http://purl.obolibrary.org/obo/IAO_0000029	numeral			
http://purl.obolibrary.org/obo/IAO_0000030	information content entity			
http://purl.obolibrary.org/obo/IAO_0000031	integer numeral			
http://purl.obolibrary.org/obo/IAO_0000032	scalar measurement datum			
http://purl.obolibrary.org/obo/IAO_0000033	directive information entity			
http://purl.obolibrary.org/obo/IAO_0000034	time trigger			
http://purl.obolibrary.org/obo/IAO_0000037	dot plot			
http://purl.obolibrary.org/obo/IAO_0000038	graph	y	Graph	
http://purl.obolibrary.org/obo/IAO_0000039	has measurement unit label			
http://purl.obolibrary.org/obo/IAO_0000055	rule			
http://purl.obolibrary.org/obo/IAO_0000057	contour plot			
http://purl.obolibrary.org/obo/IAO_0000064	algorithm	y	Algorithm	
http://purl.obolibrary.org/obo/IAO_0000065	software interpreter			
http://purl.obolibrary.org/obo/IAO_0000078	curation status specification			
http://purl.obolibrary.org/obo/IAO_0000079	density plot			
http://purl.obolibrary.org/obo/IAO_0000088	report			
http://purl.obolibrary.org/obo/IAO_0000096	source code module			
http://purl.obolibrary.org/obo/IAO_0000098	data format specification			
http://purl.obolibrary.org/obo/IAO_0000100	data set			
http://purl.obolibrary.org/obo/IAO_0000101	image			
http://purl.obolibrary.org/obo/IAO_0000102	data about an ontology part			
http://purl.obolibrary.org/obo/IAO_0000104	plan specification			
http://purl.obolibrary.org/obo/IAO_0000109	measurement datum			
http://purl.obolibrary.org/obo/IAO_0000111	editor preferred term			
http://purl.obolibrary.org/obo/IAO_0000112	example of usage			
http://purl.obolibrary.org/obo/IAO_0000113	in branch			
http://purl.obolibrary.org/obo/IAO_0000114	has curation status			
http://purl.obolibrary.org/obo/IAO_0000115	definition			
http://purl.obolibrary.org/obo/IAO_0000116	editor note			
http://purl.obolibrary.org/obo/IAO_0000117	term editor			
http://purl.obolibrary.org/obo/IAO_0000118	alternative term			
http://purl.obolibrary.org/obo/IAO_0000119	definition source			
http://purl.obolibrary.org/obo/IAO_0000129	version number			
http://purl.obolibrary.org/obo/IAO_0000131	serial number			
http://purl.obolibrary.org/obo/IAO_0000132	lot number			
http://purl.obolibrary.org/obo/IAO_0000136	is about			
http://purl.obolibrary.org/obo/IAO_0000140	setting datum			
