Source ontology term IRI	Source ontology term label	Include in View	User-preferred label	Include all children
http://purl.obolibrary.org/obo/IAO_0000115	definition			
http://purl.obolibrary.org/obo/MI_0000	molecular interaction	y	Molecular interaction	
http://purl.obolibrary.org/obo/MI_0001	interaction detection method			
http://purl.obolibrary.org/obo/MI_0002	participant identification method			
http://purl.obolibrary.org/obo/MI_0003	feature detection method			
http://purl.obolibrary.org/obo/MI_0004	affinity chromatography technology			
http://purl.obolibrary.org/obo/MI_0005	alanine scanning			
http://purl.obolibrary.org/obo/MI_0006	anti bait coimmunoprecipitation			
http://purl.obolibrary.org/obo/MI_0007	anti tag coimmunoprecipitation			
http://purl.obolibrary.org/obo/MI_0008	array technology			
http://purl.obolibrary.org/obo/MI_0009	bacterial display			
http://purl.obolibrary.org/obo/MI_0010	beta galactosidase complementation			
http://purl.obolibrary.org/obo/MI_0011	beta lactamase complementation			
http://purl.obolibrary.org/obo/MI_0012	bioluminescence resonance energy transfer			
http://purl.obolibrary.org/obo/MI_0013	biophysical			
http://purl.obolibrary.org/obo/MI_0014	adenylate cyclase complementation			
http://purl.obolibrary.org/obo/MI_0016	circular dichroism			
http://purl.obolibrary.org/obo/MI_0017	classical fluorescence spectroscopy			
http://purl.obolibrary.org/obo/MI_0018	two hybrid			
http://purl.obolibrary.org/obo/MI_0019	coimmunoprecipitation			
http://purl.obolibrary.org/obo/MI_0020	transmission electron microscopy			
http://purl.obolibrary.org/obo/MI_0021	colocalization by fluorescent probes cloning			
http://purl.obolibrary.org/obo/MI_0022	colocalization by immunostaining			
http://purl.obolibrary.org/obo/MI_0023	colocalization/visualisation technologies			
http://purl.obolibrary.org/obo/MI_0024	confirmational text mining			
http://purl.obolibrary.org/obo/MI_0025	copurification			
http://purl.obolibrary.org/obo/MI_0026	correlated mutations			
http://purl.obolibrary.org/obo/MI_0027	cosedimentation			
http://purl.obolibrary.org/obo/MI_0028	cosedimentation in solution			
http://purl.obolibrary.org/obo/MI_0029	cosedimentation through density gradient			
http://purl.obolibrary.org/obo/MI_0030	cross-linking study			
http://purl.obolibrary.org/obo/MI_0031	protein cross-linking with a bifunctional reagent			
http://purl.obolibrary.org/obo/MI_0032	de novo protein sequencing by mass spectrometry			
http://purl.obolibrary.org/obo/MI_0033	deletion analysis			
http://purl.obolibrary.org/obo/MI_0034	display technology			
http://purl.obolibrary.org/obo/MI_0035	docking			
http://purl.obolibrary.org/obo/MI_0036	domain fusion			
http://purl.obolibrary.org/obo/MI_0037	domain profile pairs			
http://purl.obolibrary.org/obo/MI_0038	dynamic light scattering			
http://purl.obolibrary.org/obo/MI_0039	edman degradation			
http://purl.obolibrary.org/obo/MI_0040	electron microscopy			
http://purl.obolibrary.org/obo/MI_0041	electron nuclear double resonance			
http://purl.obolibrary.org/obo/MI_0042	electron paramagnetic resonance			
http://purl.obolibrary.org/obo/MI_0043	electron resonance			
http://purl.obolibrary.org/obo/MI_0045	experimental interaction detection			
http://purl.obolibrary.org/obo/MI_0046	experimental knowledge based			
http://purl.obolibrary.org/obo/MI_0047	far western blotting			
http://purl.obolibrary.org/obo/MI_0048	filamentous phage display			
http://purl.obolibrary.org/obo/MI_0049	filter binding			
http://purl.obolibrary.org/obo/MI_0050	flag tag coimmunoprecipitation			
http://purl.obolibrary.org/obo/MI_0051	fluorescence technology			
http://purl.obolibrary.org/obo/MI_0052	fluorescence correlation spectroscopy			
http://purl.obolibrary.org/obo/MI_0053	fluorescence polarization spectroscopy			
http://purl.obolibrary.org/obo/MI_0054	fluorescence-activated cell sorting			
http://purl.obolibrary.org/obo/MI_0055	fluorescent resonance energy transfer			
http://purl.obolibrary.org/obo/MI_0056	full identification by DNA sequencing			
http://purl.obolibrary.org/obo/MI_0057	gene neighbourhood			
http://purl.obolibrary.org/obo/MI_0058	genome based prediction			
http://purl.obolibrary.org/obo/MI_0059	gst pull down			
http://purl.obolibrary.org/obo/MI_0060	ha tag coimmunoprecipitation			
http://purl.obolibrary.org/obo/MI_0061	his pull down			
http://purl.obolibrary.org/obo/MI_0062	his tag coimmunoprecipitation			
http://purl.obolibrary.org/obo/MI_0063	interaction prediction			
