?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/OAE_0000094>	"a medical intervention that is used for therapeutic purpose"	
<http://semanticscience.org/resource/SIO_000993>		
<http://purl.obolibrary.org/obo/SO_0000733>	"An attribute describing a located_sequence_feature."	
<http://purl.obolibrary.org/obo/NCIT_C4873>	"A non-neoplastic or neoplastic disorder that is uncommon."	
<http://edamontology.org/data_2042>	"Typically a human-readable summary of body of facts or information indicating why a statement is true or valid. This may include a computational prediction, laboratory experiment, literature reference etc."	
<http://purl.obolibrary.org/obo/GO_0032501>	"Any biological process, occurring at the level of a multicellular organism, pertinent to its function."	
<http://edamontology.org/data_1238>	"A protein sequence cleaved into peptide fragments (by enzymatic or chemical cleavage) with fragment masses."	
<http://purl.obolibrary.org/obo/MI_0914>	"Interaction between molecules that may participate in formation of one, but possibly more, physical complexes. Often describes a set of molecules that are co-purified in a single pull-down or coimmunoprecipitation but might participate in formation of distinct physical complexes sharing a common bait."	
<http://purl.obolibrary.org/obo/CHEBI_35352>	"Any heteroorganic entity containing at least one carbon-nitrogen bond."	
<http://purl.obolibrary.org/obo/ENVO_01000049>	"The marine coral reef biome comprises constructional wave-resistant entities which are primarily built by corals and are often cemented together. The growth of these structures is aided by zooxanthellae, algae that are symbiotic with the reef-building corals."	
<http://purl.obolibrary.org/obo/IAO_0000030>	"An information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity."	
<http://www.ebi.ac.uk/efo/EFO_0000319>	"A disease involving the cardiovascular system."	
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://edamontology.org/data_0880>	"An informative report of secondary structure (predicted or real) of an RNA molecule."	
<http://purl.obolibrary.org/obo/IAO_0000064>	"A plan specification which describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. Algorithms are realized usually by means of implementation as computer programs for execution by automata."@en	
<http://purl.obolibrary.org/obo/SO_1000035>	"An insertion which derives from, or is identical in sequence to, nucleotides present at a known location in the genome."	
<http://purl.obolibrary.org/obo/SO_0000371>	"A transposon that encodes function required for conjugation."	
<http://purl.obolibrary.org/obo/PATO_0000018>	"A luminous flux quality inhering in a bearer by virtue of the bearer's emitting longer wavelength light following the absorption of shorter wavelength radiation; fluorescence is common with aromatic compounds with several rings joined together."	
<http://purl.obolibrary.org/obo/GO_0005575>	"A location, relative to cellular compartments and structures, occupied by a macromolecular machine. There are three types of cellular components described in the gene ontology: (1) the cellular anatomical entity where a gene product carries out a molecular function (e.g., plasma membrane, cytoskeleton) or membrane-enclosed compartments (e.g., mitochondrion); (2) virion components, where viral proteins act, and (3) the stable macromolecular complexes of which gene product are parts (e.g., the clathrin complex)."	
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Any molecule that consists of a series of atoms joined together to form a ring."	
<http://purl.obolibrary.org/obo/GO_0005515>	"Binding to a protein."	
<http://purl.obolibrary.org/obo/NCIT_C18106>	"A protein located on the cell surface, or in the cytoplasm, that binds to a specific signaling factor, such as a hormone, antigen, or neurotransmitter, causing a conformational and functional change in the receptor molecule.  The ligand-bound receptor then alters its interaction with target molecules, which leads to changes in cellular physiology through modification of the activity of one or more signal transduction pathways."	
<http://purl.obolibrary.org/obo/ENVO_00000428>	"A biome is an ecosystem which is undergoing climactic ecological succession."@en	
<http://purl.obolibrary.org/obo/OBI_1110122>	"abnormal, harmful processes caused by or associated with a disease"@en	
<http://purl.obolibrary.org/obo/OBI_0600002>	"An assay that determines the grade (severity/stage) of a tumor sample, used in cancer biology to describe abnormalities/qualities of tumor cells or tissues. Values can be described by terms from NCI Thesaurus."@en	
<http://purl.obolibrary.org/obo/CHEBI_23888>	"Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances."	
<http://purl.obolibrary.org/obo/IAO_0000313>	"A document that has been accepted by a patent authority"@en	
<http://purl.obolibrary.org/obo/CHMO_0001002>	"Column chromatography where the mobile phase is a gas."	
<http://www.ebi.ac.uk/swo/SWO_0000001>	"Computer software, or generally just software, is any set of machine-readable instructions (most often in the form of a computer program) that conform to a given syntax (sometimes referred to as a language) that is interpretable by a given processor and that directs a computer's processor to perform specific operations."	
<http://purl.obolibrary.org/obo/CLO_0037279>		
